Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
P168_R766_w0.6h,post-vaccination blood sample from animal R766 at w0.w0h,US93503719_254853410727_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_R772_w0.24h,post-vaccination blood sample from animal R772 at w0.w0h,US93503719_254853410727_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_P397_w12.24h,post-vaccination blood sample from animal P397 at w12.w12h,US93503719_254853410727_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R766_w14.0h,post-vaccination blood sample from animal R766 at w14.w14h,US93503719_254853410728_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_R769_w14.0h,post-vaccination blood sample from animal R769 at w14.w14h,US93503719_254853410728_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w14.0h,post-vaccination blood sample from animal R770 at w14.w14h,US93503719_254853410728_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_R772_w14.0h,post-vaccination blood sample from animal R772 at w14.w14h,US93503719_254853410728_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_R773_w14.0h,post-vaccination blood sample from animal R773 at w14.w14h,US93503719_254853410728_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_R773_w1.0h,post-vaccination blood sample from animal R773 at w1.w1h,US93503719_254853410728_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_R764_w0.6h,post-vaccination blood sample from animal R764 at w0.w0h,US93503719_254853410728_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_R806_w12.0h,post-vaccination blood sample from animal R806 at w12.w12h,US93503719_254853410729_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_R785_w24.24h,post-vaccination blood sample from animal R785 at w24.w24h,US93503719_254853410729_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R780_w4.0h,post-vaccination blood sample from animal R780 at w4.w4h,US93503719_254853410729_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R808_w12.24h,post-vaccination blood sample from animal R808 at w12.w12h,US93503719_254853410729_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R785_w12.6h,post-vaccination blood sample from animal R785 at w12.w12h,US93503719_254853410729_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_R779_w0.24h,post-vaccination blood sample from animal R779 at w0.w0h,US93503719_254853410729_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R785_w5.0h,post-vaccination blood sample from animal R785 at w5.w5h,US93503719_254853410729_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
Control.19,Control,US93503719_254853410729_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R780_w0.24h,post-vaccination blood sample from animal R780 at w0.w0h,US93503719_254853410730_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R808_w24.24h,post-vaccination blood sample from animal R808 at w24.w24h,US93503719_254853410730_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R780_w0.6h,post-vaccination blood sample from animal R780 at w0.w0h,US93503719_254853410730_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_R808_w25.0h,post-vaccination blood sample from animal R808 at w25.w25h,US93503719_254853410730_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R779_w12.6h,post-vaccination blood sample from animal R779 at w12.w12h,US93503719_254853410730_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_R780_w26.0h,post-vaccination blood sample from animal R780 at w26.w26h,US93503719_254853410730_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R785_w25.0h,post-vaccination blood sample from animal R785 at w25.w25h,US93503719_254853410730_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R790_w25.0h,post-vaccination blood sample from animal R790 at w25.w25h,US93503719_254853410730_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R806_w26.0h,post-vaccination blood sample from animal R806 at w26.w26h,US93503719_254853410731_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R785_w4.6h,post-vaccination blood sample from animal R785 at w4.w4h,US93503719_254853410731_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
Control.21,Control,US93503719_254853410731_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R785_w12.24h,post-vaccination blood sample from animal R785 at w12.w12h,US93503719_254853410731_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R808_w1.0h,post-vaccination blood sample from animal R808 at w1.w1h,US93503719_254853410731_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_R790_w2.0h,post-vaccination blood sample from animal R790 at w2.w2h,US93503719_254853410731_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_R779_w5.0h,post-vaccination blood sample from animal R779 at w5.w5h,US93503719_254853410731_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_R808_w12.6h,post-vaccination blood sample from animal R808 at w12.w12h,US93503719_254853410731_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_R806_w4.6h,post-vaccination blood sample from animal R806 at w4.w4h,US93503719_254853410732_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R780_w12.0h,post-vaccination blood sample from animal R780 at w12.w12h,US93503719_254853410732_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_R790_w0.0h,pre-vaccination blood sample from animal R790 at w0.w0h,US93503719_254853410732_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R790_w0.24h,post-vaccination blood sample from animal R790 at w0.w0h,US93503719_254853410732_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R780_w4.6h,post-vaccination blood sample from animal R780 at w4.w4h,US93503719_254853410732_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R806_w2.0h,post-vaccination blood sample from animal R806 at w2.w2h,US93503719_254853410732_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_R785_w0.0h,pre-vaccination blood sample from animal R785 at w0.w0h,US93503719_254853410732_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R779_w26.0h,post-vaccination blood sample from animal R779 at w26.w26h,US93503719_254853410732_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
Control.11,Control,US93503719_254853410733_S01_GE1_107_Sep09_1_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R790_w12.0h,post-vaccination blood sample from animal R790 at w12.w12h,US93503719_254853410733_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_R785_w12.0h,post-vaccination blood sample from animal R785 at w12.w12h,US93503719_254853410733_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_R808_w0.0h,pre-vaccination blood sample from animal R808 at w0.w0h,US93503719_254853410733_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R790_w26.0h,post-vaccination blood sample from animal R790 at w26.w26h,US93503719_254853410733_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R790_w4.6h,post-vaccination blood sample from animal R790 at w4.w4h,US93503719_254853410733_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R808_w0.24h,post-vaccination blood sample from animal R808 at w0.w0h,US93503719_254853410733_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R785_w0.6h,post-vaccination blood sample from animal R785 at w0.w0h,US93503719_254853410733_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_R806_w0.24h,post-vaccination blood sample from animal R806 at w0.w0h,US93503719_254853410734_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
Control.37,Control,US93503719_254853410734_S01_GE1_107_Sep09_1_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R779_w0.6h,post-vaccination blood sample from animal R779 at w0.w0h,US93503719_254853410734_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_R780_w12.6h,post-vaccination blood sample from animal R780 at w12.w12h,US93503719_254853410734_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_R780_w0.0h,pre-vaccination blood sample from animal R780 at w0.w0h,US93503719_254853410734_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R806_w12.24h,post-vaccination blood sample from animal R806 at w12.w12h,US93503719_254853410734_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R806_w25.0h,post-vaccination blood sample from animal R806 at w25.w25h,US93503719_254853410734_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R779_w25.0h,post-vaccination blood sample from animal R779 at w25.w25h,US93503719_254853410734_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R779_w4.0h,post-vaccination blood sample from animal R779 at w4.w4h,US93503719_254853410735_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R779,Macaca mulatta,R779,NYV-SIV,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R780_w25.0h,post-vaccination blood sample from animal R780 at w25.w25h,US93503719_254853410735_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R780,Macaca mulatta,R780,NYV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R785_w4.0h,post-vaccination blood sample from animal R785 at w4.w4h,US93503719_254853410735_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R785,Macaca mulatta,R785,NYV-SIV,not infected,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R790_w12.24h,post-vaccination blood sample from animal R790 at w12.w12h,US93503719_254853410735_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R790,Macaca mulatta,R790,NYV-SIV,2,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
